#COD_MUNICIPIO_CADMU,NOME_MUNICIPIO,COD_MUNICIPIO_IBGE,COD_UF,NOME_UF,COD_UF_IBGE
54496,ERMO,4205191,SC,SANTA CATARINA,42
46954,CORUMBIARA,1100072,RO,RONDÔNIA,11
36122,LUÍS ANTÔNIO,3527603,SP,SÃO PAULO,35
6262,BONFINÓPOLIS DE MINAS,3108206,MG,MINAS GERAIS,31
15765,IBIRAMA,4206900,SC,SANTA CATARINA,42
18724,SANTA RITA DO ARAGUAIA,5219407,GO,GOIÁS,52
20011,CANGUÇU,4304507,RS,RIO GRANDE DO SUL,43
40589,AURILÂNDIA,5202601,GO,GOIÁS,52
23544,SÃO SEBASTIÃO DE LAGOA DE ROÇA,2515104,PB,PARAÍBA,25
56346,CAIÇARA DO NORTE,2401859,RN,RIO GRANDE DO NORTE,24
