#COD_MUNICIPIO_CADMU,NOME_MUNICIPIO,COD_MUNICIPIO_IBGE,COD_UF,NOME_UF,COD_UF_IBGE
5438,CACIQUE DOBLE,4303202,RS,RIO GRANDE DO SUL,43
55684,FLORIANO PEIXOTO,4308250,RS,RIO GRANDE DO SUL,43
57321,TRIZIDELA DO VALE,2112233,MA,MARANHÃO,21
30331,MOGI DAS CRUZES,3530607,SP,SÃO PAULO,35
1281,SÃO JOÃO DA BARRA,3305000,RJ,RIO DE JANEIRO,33
51262,CUMARU DO NORTE,1502764,PA,PARÁ,15
22071,FORMIGUEIRO,4308409,RS,RIO GRANDE DO SUL,43
52027,SANTO EXPEDITO DO SUL,4317954,RS,RIO GRANDE DO SUL,43
10155,SÃO PEDRO,2412708,RN,RIO GRANDE DO NORTE,24
17402,GOVERNADOR ARCHER,2104503,MA,MARANHÃO,21
26792,GRANJA,2304707,CE,CEARÁ,23
33455,SANTA LEOPOLDINA,3204500,ES,ESPÍRITO SANTO,32
36407,MUTUNÓPOLIS,5214101,GO,GOIÁS,52
31299,URUÇUCA,2932705,BA,BAHIA,29
31952,JANDIRA,3525003,SP,SÃO PAULO,35
10557,SÃO JOSÉ DO NORTE,4318507,RS,RIO GRANDE DO SUL,43
48543,CUITÉ DE MAMANGUAPE,2505238,PB,PARAÍBA,25
28130,CAMPINAS DO PIAUÍ,2202109,PI,PIAUÍ,22
2792,RIBEIRÃO CLARO,4121802,PR,PARANÁ,41
33194,CAÇAPAVA DO SUL,4302808,RS,RIO GRANDE DO SUL,43
50878,NOVO REPARTIMENTO,1505064,PA,PARÁ,15
30544,VOLTA REDONDA,3306305,RJ,RIO DE JANEIRO,33
6224,PORANGABA,3540507,SP,SÃO PAULO,35
7515,MACAU,2407203,RN,RIO GRANDE DO NORTE,24
3784,PORTO REAL DO COLÉGIO,2707503,AL,ALAGOAS,27
57266,ÁGUA DOCE DO MARANHÃO,2100154,MA,MARANHÃO,21
52113,ÁGUAS LINDAS DE GOIÁS,5200258,GO,GOIÁS,52
43658,SANTA RITA DO PARDO,5007554,MS,MATO GROSSO DO SUL,50
26826,TREMEMBÉ,3554805,SP,SÃO PAULO,35
40297,PRADOS,3152709,MG,MINAS GERAIS,31
36373,JUSSARA,5212204,GO,GOIÁS,52
11886,AGRONÔMICA,4200309,SC,SANTA CATARINA,42
51994,PRACINHA,3540853,SP,SÃO PAULO,35
54757,NOVO GAMA,5215231,GO,GOIÁS,52
2314,LAGOA DOS GATOS,2608701,PE,PERNAMBUCO,26
20262,PEDRO AFONSO,1716505,TO,TOCANTINS,17
44561,CONCÓRDIA DO PARÁ,1502756,PA,PARÁ,15
24079,SANTA LUZIA,3157807,MG,MINAS GERAIS,31
34605,ÁLVARES MACHADO,3501301,SP,SÃO PAULO,35
4848,JUAZEIRO DO NORTE,2307304,CE,CEARÁ,23
29579,RIO VERDE,5218805,GO,GOIÁS,52
50184,CALDAZINHA,5204557,GO,GOIÁS,52
33943,PERDÕES,3149903,MG,MINAS GERAIS,31
28013,CONCEIÇÃO DA BARRA DE MINAS,3115201,MG,MINAS GERAIS,31
43713,BERNARDO SAYÃO,1703206,TO,TOCANTINS,17
28738,SÃO GERALDO,3161502,MG,MINAS GERAIS,31
47489,CURRALINHOS,2203255,PI,PIAUÍ,22
27722,SÃO PEDRO DO PARANÁ,4125902,PR,PARANÁ,41
30678,POTIRAGUÁ,2925402,BA,BAHIA,29
4518,ITAPACI,5210901,GO,GOIÁS,52
14962,MARAGOGIPE,2920601,BA,BAHIA,29
15521,SÃO JOSÉ DA SAFIRA,3163003,MG,MINAS GERAIS,31
4996,JACAREÍ,3524402,SP,SÃO PAULO,35
32126,MANTENA,3139607,MG,MINAS GERAIS,31
16290,CHAPADA DOS GUIMARÃES,5103007,MT,MATO GROSSO,51
36957,PASSO DE CAMARAGIBE,2706505,AL,ALAGOAS,27
17969,ERVAL VELHO,4205209,SC,SANTA CATARINA,42
48914,CANITAR,3510153,SP,SÃO PAULO,35
12380,ALEGRE,3200201,ES,ESPÍRITO SANTO,32
14182,RAFAEL GODEIRO,2410603,RN,RIO GRANDE DO NORTE,24
1315,SÃO MIGUEL DO IGUAÇU,4125704,PR,PARANÁ,41
40668,JUSSARA,4113007,PR,PARANÁ,41
11350,UBAJARA,2313609,CE,CEARÁ,23
26503,SERRA CAIADA,2410306,RN,RIO GRANDE DO NORTE,24
22026,MORAÚJO,2308807,CE,CEARÁ,23
40039,PRAIA GRANDE,4213807,SC,SANTA CATARINA,42
56298,MANARI,2609154,PE,PERNAMBUCO,26
17268,COLATINA,3201506,ES,ESPÍRITO SANTO,32
16599,RIO CASCA,3154903,MG,MINAS GERAIS,31
12469,AMPARO DO SERRA,3102506,MG,MINAS GERAIS,31
7704,CAMPINAS DO SUL,4303806,RS,RIO GRANDE DO SUL,43
49054,ESTIVA GERBI,3557303,SP,SÃO PAULO,35
51176,TRAIRÃO,1508050,PA,PARÁ,15
16685,MIRANDIBA,2609303,PE,PERNAMBUCO,26
5751,SEVERIANO DE ALMEIDA,4320602,RS,RIO GRANDE DO SUL,43
3100,MIRACEMA,3303005,RJ,RIO DE JANEIRO,33
57493,CENTRAL DO MARANHÃO,2103125,MA,MARANHÃO,21
17251,GOVERNADOR VALADARES,3127701,MG,MINAS GERAIS,31
36359,GURUPI,1709500,TO,TOCANTINS,17
6303,BODOCÓ,2602001,PE,PERNAMBUCO,26
40259,IRACEMA,2306009,CE,CEARÁ,23
4659,QUATRO BARRAS,4120804,PR,PARANÁ,41
51619,NOVA GUARITA,5108808,MT,MATO GROSSO,51
48282,BOM SUCESSO DO SUL,4103222,PR,PARANÁ,41
56913,SÃO JOSÉ DOS BASÍLIOS,2111250,MA,MARANHÃO,21
3973,ROMARIA,3156403,MG,MINAS GERAIS,31
56016,IRUPI,3202652,ES,ESPÍRITO SANTO,32
2651,SETE LAGOAS,3167202,MG,MINAS GERAIS,31
26709,ARAGUATINS,1702208,TO,TOCANTINS,17
2833,PILÕES,2511608,PB,PARAÍBA,25
14663,CAMBIRA,4103800,PR,PARANÁ,41
8071,BELA VISTA DO PARAÍSO,4102802,PR,PARANÁ,41
19194,VALENÇA,3306107,RJ,RIO DE JANEIRO,33
5517,TAPIRAÍ,3168200,MG,MINAS GERAIS,31
32982,CAMPO BELO DO SUL,4203402,SC,SANTA CATARINA,42
18944,MATOZINHOS,3141108,MG,MINAS GERAIS,31
38137,OEIRAS,2207009,PI,PIAUÍ,22
46356,APUAREMA,2901957,BA,BAHIA,29
3966,RODEIRO,3156304,MG,MINAS GERAIS,31
41313,SÃO JORGE DO PATROCÍNIO,4125357,PR,PARANÁ,41
7948,IEPÊ,3519907,SP,SÃO PAULO,35
18157,ITACARAMBI,3132107,MG,MINAS GERAIS,31
37554,SANTANA DO RIACHO,3159001,MG,MINAS GERAIS,31
37530,SANTA MARIA DO SALTO,3158102,MG,MINAS GERAIS,31
14656,XAMBIOÁ,1722107,TO,TOCANTINS,17
50524,CASTELÂNDIA,5205059,GO,GOIÁS,52
26682,CRISTINA,3120508,MG,MINAS GERAIS,31
36809,TAIPU,2413904,RN,RIO GRANDE DO NORTE,24
55921,LAVANDEIRA,1712157,TO,TOCANTINS,17
27272,GUABIRUBA,4206306,SC,SANTA CATARINA,42
39820,CONDADO,2504504,PB,PARAÍBA,25
36074,BUERAREMA,2904704,BA,BAHIA,29
15576,SÃO SEBASTIÃO DO RIO PRETO,3164803,MG,MINAS GERAIS,31
7326,SÃO LUÍS DO QUITUNDE,2708501,AL,ALAGOAS,27
38711,RIBEIRÃO BRANCO,3543006,SP,SÃO PAULO,35
22040,NOVA CRUZ,2408300,RN,RIO GRANDE DO NORTE,24
1690,CAMPESTRE,3111002,MG,MINAS GERAIS,31
46150,MUQUÉM DO SÃO FRANCISCO,2922250,BA,BAHIA,29
20372,PEDREIRAS,2108207,MA,MARANHÃO,21
38546,IGUARACY,2606903,PE,PERNAMBUCO,26
41674,DOVERLÂNDIA,5207253,GO,GOIÁS,52
37846,BATATAIS,3505906,SP,SÃO PAULO,35
