#CODIGO,DESCRICAO
"1","Consórcio"
"3","Integração Lavoura Pecuária"
"4","Sistemas Agroflorestais"
"5","Integração Lavoura-Pecuária-Floresta/Sistema Agro-Silvo-Pastoril"
"2","Lavoura Solteira"
"0","Não se aplica"
"6","Integração Lavoura-Floresta"
"7","Integração Pecuária-Floresta"
