#CODIGO,DESCRICAO
"01","Não Irrigado"
"02","Gotejamento"
"03","Micro-aspersão"
"04","Aspersão"
"05","Xique-Xique"
"06","Pivô"
"07","Canhão"
"08","Auto-Propelido"
"09","Sulcos"
"10","Inundação"
"00","Não se aplica"
"11","Irrigação sujeita à interrupção por ato do Poder Público"
